anchor,weight,iqr,median,theta_spread,iqr_ratio,predicted
informative (truth),0.0,0.0772248470898026,0.23725340335264666,0.92539059275117,1.0,1.0
informative (truth),0.0005,0.0734243751860082,0.2348748820256325,0.9042037172942916,1.0517603574312557,0.9801981831912061
informative (truth),0.0009008241153272058,0.07031213061650021,0.23192443812975383,0.8875981481152061,1.0983147063343315,0.9646069293915442
informative (truth),0.0016229681735100848,0.0683289404934952,0.22675760698568104,0.8584833199348645,1.1301923684467825,0.9371386873700955
informative (truth),0.0029240177382128638,0.06597891888888649,0.22261519241610234,0.8084518759393238,1.1704472942312847,0.8896049309452798
informative (truth),0.005268051384453322,0.06141725294346334,0.21862432039055368,0.7258085618149576,1.257380351428135,0.8099541971765541
informative (truth),0.009491175455796853,0.058830450432652726,0.21715608013728682,0.5981516865166718,1.3126679554868819,0.6839795242364064
informative (truth),0.017099759466766964,0.05123798277773192,0.21864774686448907,0.42183443155718514,1.5071796917689075,0.5043040849263883
informative (truth),0.030807751387916714,0.03230335716563154,0.22359274290648234,0.223529728981392,2.390613665751258,0.29106397275403995
informative (truth),0.05550473077848112,0.014131897590045434,0.23220188108301348,0.06771717514090156,5.464577322170809,0.10791907088309674
informative (truth),0.1,0.001532224187870329,0.23503476728879236,0.008303430865210274,50.40048819300983,0.017950553275045137
nonsense (scale-matched),0.0,0.0772248470898026,0.23725340335264666,0.92539059275117,1.0,1.0
nonsense (scale-matched),0.0005,0.07109422177510599,0.23306571310886465,0.9006501101715203,1.0862323992249294,0.9801981831912061
nonsense (scale-matched),0.0009008241153272058,0.06919832722510566,0.22871583264155207,0.8811984357872149,1.1159929753588733,0.9646069293915442
nonsense (scale-matched),0.0016229681735100848,0.06587944362187312,0.2254318531509152,0.8470956496782145,1.1722146218029474,0.9371386873700955
nonsense (scale-matched),0.0029240177382128638,0.06282686945894289,0.22774029460901069,0.7884478402363366,1.2291691079764642,0.8896049309452798
nonsense (scale-matched),0.005268051384453322,0.06038657914921608,0.2317707144377214,0.691435226400835,1.278841228925701,0.8099541971765541
nonsense (scale-matched),0.009491175455796853,0.0635981398742701,0.2506986374523233,0.5412896268441723,1.2142626693559233,0.6839795242364064
nonsense (scale-matched),0.017099759466766964,0.04611991774991453,0.2806783148385947,0.33715012403304756,1.674435923944069,0.5043040849263883
nonsense (scale-matched),0.030807751387916714,0.012682063669777865,0.31882246913409634,0.13751635009524424,6.089296592465005,0.29106397275403995
nonsense (scale-matched),0.05550473077848112,0.004336918809984547,0.37116435537393466,0.037142636287754625,17.80638524106421,0.10791907088309674
nonsense (scale-matched),0.1,0.0009747046635579792,0.4678029171345358,0.0053588222993363795,79.22897055597083,0.017950553275045137
zero,0.0,0.0772248470898026,0.23725340335264666,0.92539059275117,1.0,1.0
zero,0.0005,0.07250190012232116,0.23370536594536595,0.9007632851319904,1.06514238881344,0.9801981831912061
zero,0.0009008241153272058,0.06893582063569154,0.22984520187065427,0.8814344817681535,1.1202426601681654,0.9646069293915442
zero,0.0016229681735100848,0.06710016913480785,0.2237982330367545,0.8474790698608425,1.150889007964402,0.9371386873700955
zero,0.0029240177382128638,0.0630369990831244,0.22092444515929796,0.7891459096792325,1.2250717548906354,0.8896049309452798
zero,0.005268051384453322,0.060881368892663545,0.2186641266640042,0.6928876213812523,1.268447942193174,0.8099541971765541
zero,0.009491175455796853,0.06431853926541725,0.22433828462030392,0.5444048214809128,1.2006623280284103,0.6839795242364064
zero,0.017099759466766964,0.049051434376024466,0.23662503980091573,0.34342929768298414,1.574364706601706,0.5043040849263883
zero,0.030807751387916714,0.03584084899590853,0.2596517971455203,0.13620717418754613,2.1546600946483805,0.29106397275403995
zero,0.05550473077848112,0.007111317314638488,0.28499134125748427,0.020652640366781563,10.859429227104938,0.10791907088309674
zero,0.1,0.000775103987341319,0.3115118357628286,0.0013518340801485442,99.63159569684478,0.017950553275045137
